iso_code,vaccines
USA,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
URY,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
UZB,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V"
VUT,Oxford/AstraZeneca
VEN,"BBIBP-CorV, Sputnik V"
VNM,Oxford/AstraZeneca
OWID_WLS,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
WLF,Oxford/AstraZeneca
YEM,Oxford/AstraZeneca
ZMB,"Oxford/AstraZeneca, Sinopharm/Beijing"
ZWE,Sinopharm/Beijing
