iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,gdp_per_capita
IRN,Asia,Iran,3232696.0,84516.0,38487.705,164.728,1006.227,1.512,,,19082.62
IRQ,Asia,Iraq,1359836.0,17256.0,33807.841,158.568,429.014,0.994,,,15663.986
IRL,Europe,Ireland,273296.0,5000.0,55347.771,103.69,1012.598,0.0,,,67335.293
IMN,Europe,Isle of Man,,,,,,,45390.0,53.38,
ISR,Asia,Israel,842371.0,6429.0,97321.589,35.122,742.761,0.0,5174398.0,59.78,33132.32
ITA,Europe,Italy,4261582.0,127615.0,70483.843,13.132,2110.671,0.463,19462810.0,32.19,35220.084
JAM,North America,Jamaica,50242.0,1082.0,16966.994,25.666,365.397,0.675,,,8193.571
JPN,Asia,Japan,803812.0,14779.0,6355.428,14.026,116.852,0.198,,,39002.223
JEY,Europe,Jersey,,,,,,,52595.0,52.04,
JOR,Asia,Jordan,752395.0,9760.0,73741.515,44.888,956.568,0.392,1421070.0,13.93,8337.49
KAZ,Asia,Kazakhstan,488204.0,3539.0,26000.512,151.89,188.478,0.32,2085919.0,11.11,24055.588
KEN,Africa,Kenya,185060.0,3651.0,3441.613,9.726,67.899,0.205,,,2993.028
KIR,Oceania,Kiribati,2.0,,16.744,0.0,,,,,1981.132
OWID_KOS,Europe,Kosovo,107785.0,2262.0,55766.996,8.796,1170.339,0.0,,,9795.834
KWT,Asia,Kuwait,360406.0,1995.0,84393.088,443.735,467.152,3.747,,,65530.537
KGZ,Asia,Kyrgyzstan,127880.0,2019.0,19600.898,227.614,309.464,1.533,,,3393.474
LAO,Asia,Laos,2176.0,3.0,299.084,4.398,0.412,0.0,,,6397.36
LVA,Europe,Latvia,137540.0,2526.0,72919.019,21.207,1339.199,3.181,562412.0,29.82,25063.846
LBN,Asia,Lebanon,545226.0,7856.0,79881.42,30.767,1150.988,0.293,451207.0,6.61,13367.565
LSO,Africa,Lesotho,11544.0,329.0,5388.722,59.75,153.577,0.0,,,2851.153
LBR,Africa,Liberia,4520.0,133.0,893.691,42.707,26.297,0.791,,,752.788
LBY,Africa,Libya,194323.0,3205.0,28280.437,60.833,466.434,1.019,,,17881.509
LIE,Europe,Liechtenstein,3040.0,59.0,79712.615,26.221,1547.054,0.0,,,
LTU,Europe,Lithuania,278826.0,4387.0,102423.29,6.245,1611.51,1.102,1075665.0,39.51,29524.265
LUX,Europe,Luxembourg,71031.0,818.0,113472.401,217.261,1306.759,0.0,216876.0,34.65,94277.965
MAC,Asia,Macao,,,,,,,113957.0,17.55,104861.851
MDG,Africa,Madagascar,42264.0,918.0,1526.271,0.614,33.152,0.108,,,1416.44
MWI,Africa,Malawi,36573.0,1202.0,1911.818,11.187,62.833,0.157,,,1095.042
MYS,Asia,Malaysia,765949.0,5327.0,23665.237,215.72,164.586,2.255,2463019.0,7.61,26808.164
MDV,Asia,Maldives,74074.0,213.0,137036.53,264.549,394.049,0.0,,,15183.616
MLI,Africa,Mali,14435.0,525.0,712.81,0.346,25.925,0.0,,,2014.306
MLT,Europe,Malta,30633.0,420.0,69377.79,13.589,951.218,0.0,,,36513.323
MHL,Oceania,Marshall Islands,4.0,,67.574,0.0,,,,,3819.202
MRT,Africa,Mauritania,20977.0,489.0,4511.513,17.851,105.169,0.0,,,3597.633
MUS,Africa,Mauritius,1858.0,18.0,1460.959,0.0,14.154,0.0,,,20292.745
MEX,North America,Mexico,2531192.0,233428.0,19631.877,45.31,1810.463,1.396,,,17336.469
FSM,Oceania,Micronesia (country),1.0,,8.694,0.0,,,,,3299.464
MDA,Europe,Moldova,256870.0,6194.0,63676.836,13.386,1535.463,0.0,277888.0,6.89,5189.972
MCO,Europe,Monaco,2586.0,33.0,65895.424,152.89,840.893,0.0,,,
MNG,Asia,Mongolia,120339.0,592.0,36707.834,0.0,180.582,0.0,1756449.0,53.58,11840.846
MNE,Europe,Montenegro,100292.0,1613.0,159684.872,31.844,2568.218,0.0,139966.0,22.29,16409.288
MSR,North America,Montserrat,,,,,,,1229.0,24.58,
MAR,Africa,Morocco,532994.0,9307.0,14440.15,22.866,252.15,0.244,9159495.0,24.82,7485.013
MOZ,Africa,Mozambique,78074.0,885.0,2497.934,27.803,28.315,0.032,,,1136.103
MMR,Asia,Myanmar,161210.0,3364.0,2962.886,34.24,61.827,0.312,,,5591.597
NAM,Africa,Namibia,92869.0,1586.0,36549.418,653.701,624.184,11.807,,,9541.808
NRU,Oceania,Nauru,,,,,,,1814.0,16.74,12895.635
NPL,Asia,Nepal,642053.0,9179.0,22035.804,47.74,315.031,1.167,,,2442.804
NLD,Europe,Netherlands,1714524.0,18038.0,100060.502,55.326,1052.707,0.409,6199305.0,36.18,48472.545
NCL,Oceania,New Caledonia,,,,,,,51943.0,18.19,
NZL,Oceania,New Zealand,2743.0,26.0,568.824,0.0,5.392,0.0,,,36085.843
NIC,North America,Nicaragua,8178.0,191.0,1234.498,0.0,28.832,0.0,,,5321.444
NER,Africa,Niger,5492.0,193.0,226.88,0.0,7.973,0.0,,,926.0
NGA,Africa,Nigeria,167732.0,2121.0,813.682,0.194,10.289,0.0,,,5338.454
MKD,Europe,North Macedonia,155700.0,5486.0,74734.326,5.28,2633.221,0.48,225340.0,10.82,13111.214
OWID_CYN,Asia,Northern Cyprus,,,,,,,54280.0,14.2,
NOR,Europe,Norway,131749.0,794.0,24302.365,44.27,146.461,0.0,,,64800.057
OMN,Asia,Oman,270504.0,3140.0,52971.221,0.0,614.888,0.0,,,37960.709
PAK,Asia,Pakistan,961085.0,22379.0,4350.921,6.338,101.312,0.154,,,5034.708
PSE,Asia,Palestine,314409.0,3570.0,61631.712,23.719,699.806,0.98,371706.0,7.29,4449.898
PAN,North America,Panama,406013.0,6560.0,94098.454,238.715,1520.36,1.854,,,22267.037
PNG,Oceania,Papua New Guinea,17098.0,173.0,1911.026,0.0,19.336,0.0,,,3823.194
PRY,South America,Paraguay,426318.0,13127.0,59770.937,185.068,1840.441,15.422,,,8827.01
PER,South America,Peru,2057554.0,192687.0,62403.361,0.0,5843.986,0.0,,,12236.706
PHL,Asia,Philippines,1424518.0,24973.0,12999.671,56.406,227.895,1.606,,,7599.188
PCN,Oceania,Pitcairn,,,,,,,,,
POL,Europe,Poland,2880107.0,75065.0,76099.481,2.563,1983.401,0.555,13716258.0,36.24,27216.445
PRT,Europe,Portugal,884442.0,17108.0,86738.003,238.901,1677.797,0.686,3674252.0,36.03,27936.896
QAT,Asia,Qatar,222350.0,591.0,77176.456,46.164,205.133,0.0,1472225.0,51.1,116935.6
ROU,Europe,Romania,1080860.0,33898.0,56184.524,1.923,1762.063,1.923,,,23313.199
RUS,Europe,Russia,5495513.0,134302.0,37657.405,156.173,920.29,4.584,17600153.0,12.06,24765.954
RWA,Africa,Rwanda,40798.0,453.0,3149.887,68.251,34.975,0.386,,,1854.211
SHN,Africa,Saint Helena,,,,,,,3531.0,58.16,
KNA,North America,Saint Kitts and Nevis,476.0,3.0,8948.714,357.197,56.399,0.0,,,24654.385
LCA,North America,Saint Lucia,5302.0,84.0,28873.435,0.0,457.444,0.0,,,12951.839
VCT,North America,Saint Vincent and the Grenadines,2229.0,12.0,20090.674,18.027,108.16,0.0,,,10727.146
WSM,Oceania,Samoa,3.0,,15.12,0.0,,,,,6021.557
SMR,Europe,San Marino,5091.0,90.0,150008.84,0.0,2651.895,0.0,,,56861.47
STP,Africa,Sao Tome and Principe,2369.0,37.0,10809.405,0.0,168.826,0.0,,,3052.714
SAU,Asia,Saudi Arabia,490464.0,7848.0,14088.179,125.18,225.427,1.264,,,49045.411
SEN,Africa,Senegal,43427.0,1170.0,2593.597,9.496,69.876,0.119,,,2470.58
SRB,Europe,Serbia,716717.0,7051.0,105328.369,10.875,1036.211,0.588,,,14048.881
SYC,Africa,Seychelles,15857.0,71.0,161246.695,2826.927,721.985,30.506,,,26382.287
SLE,Africa,Sierra Leone,5702.0,104.0,714.806,6.268,13.038,0.251,,,1390.3
SGP,Asia,Singapore,62599.0,36.0,10700.056,1.709,6.153,0.0,2125145.0,36.33,85535.383
SXM,North America,Sint Maarten (Dutch part),,,,,,,17160.0,40.02,36327.232
SVK,Europe,Slovakia,391676.0,12511.0,71740.222,3.114,2291.542,0.0,1611613.0,29.52,30155.152
SVN,Europe,Slovenia,257383.0,4419.0,123805.396,12.025,2125.611,0.0,697091.0,33.53,31400.84
SLB,Oceania,Solomon Islands,20.0,,29.117,0.0,,,,,2205.923
SOM,Africa,Somalia,14946.0,775.0,940.401,0.0,48.763,0.0,,,
